numero,nom_complet,fichier_photo,url_photo,taille_ko
1,"Damien Abad","001_Damien_Abad.png","https://datan.fr/assets/imgs/deputes_nobg/depute_605036.png","16.35"
2,"Caroline Abadie","002_Caroline_Abadie.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719866.png","14.92"
3,"Nadège Abomangoli","003_Nadège_Abomangoli.png","https://datan.fr/assets/imgs/deputes_original/depute_795228.png","169.34"
4,"Jean-Félix Acquaviva","004_Jean-Félix_Acquaviva.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719146.png","15.36"
5,"Damien Adam","005_Damien_Adam.png","https://datan.fr/assets/imgs/deputes_nobg/depute_722038.png","14.22"
6,"Sabrina Agresti-Roubache","006_Sabrina_Agresti-Roubache.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793278.png","19.11"
7,"Éric Alauzet","007_Éric_Alauzet.png","https://datan.fr/assets/imgs/deputes_nobg/depute_605963.png","15.76"
8,"Xavier Albertini","008_Xavier_Albertini.png","https://datan.fr/assets/imgs/deputes_original/depute_794278.png","169.34"
9,"Laurent Alexandre","009_Laurent_Alexandre.png","https://datan.fr/assets/imgs/deputes_original/depute_793262.png","169.34"
10,"Henri Alfandari","010_Henri_Alfandari.png","https://datan.fr/assets/imgs/deputes_original/depute_793992.png","169.34"
11,"Franck Allisio","011_Franck_Allisio.png","https://datan.fr/assets/imgs/deputes_original/depute_793432.png","169.34"
12,"Gabriel Amard","012_Gabriel_Amard.png","https://datan.fr/assets/imgs/deputes_original/depute_794906.png","169.34"
13,"David Amiel","013_David_Amiel.png","https://datan.fr/assets/imgs/deputes_original/depute_795950.png","169.34"
14,"Ségolène Amiot","014_Ségolène_Amiot.png","https://datan.fr/assets/imgs/deputes_original/depute_794138.png","169.34"
15,"Farida Amrani","015_Farida_Amrani.png","https://datan.fr/assets/imgs/deputes_original/depute_795588.png","169.34"
16,"Pieyre-Alexandre Anglade","016_Pieyre-Alexandre_Anglade.png","https://datan.fr/assets/imgs/deputes_original/depute_721158.png","169.34"
17,"Emmanuelle Anthoine","017_Emmanuelle_Anthoine.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719318.png","20.00"
18,"Jean-Philippe Ardouin","018_Jean-Philippe_Ardouin.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719100.png","14.70"
19,"Rodrigo Arenas","019_Rodrigo_Arenas.png","https://datan.fr/assets/imgs/deputes_original/depute_795084.png","169.34"
20,"Antoine Armand","020_Antoine_Armand.png","https://datan.fr/assets/imgs/deputes_original/depute_795144.png","169.34"
21,"Christine Arrighi","021_Christine_Arrighi.png","https://datan.fr/assets/imgs/deputes_original/depute_793780.png","169.34"
22,"Gabriel Attal","022_Gabriel_Attal.png","https://datan.fr/assets/imgs/deputes_original/depute_722190.png","169.34"
23,"Clémentine Autain","023_Clémentine_Autain.png","https://datan.fr/assets/imgs/deputes_original/depute_588884.png","169.34"
24,"Bénédicte Auzanot","024_Bénédicte_Auzanot.png","https://datan.fr/assets/imgs/deputes_original/depute_796118.png","169.34"
25,"Joël Aviragnet","025_Joël_Aviragnet.png","https://datan.fr/assets/imgs/deputes_original/depute_642764.png","169.34"
26,"Anne-Laure Babault","026_Anne-Laure_Babault.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793560.png","14.70"
27,"Erwan Balanant","027_Erwan_Balanant.png","https://datan.fr/assets/imgs/deputes_original/depute_719558.png","169.34"
28,"Philippe Ballard","028_Philippe_Ballard.png","https://datan.fr/assets/imgs/deputes_original/depute_794562.png","169.34"
29,"Géraldine Bannier","029_Géraldine_Bannier.png","https://datan.fr/assets/imgs/deputes_original/depute_720256.png","169.34"
30,"Christian Baptiste","030_Christian_Baptiste.png","https://datan.fr/assets/imgs/deputes_original/depute_643143.png","169.34"
31,"Jean-Noël Barrot","031_Jean-Noël_Barrot.png","https://datan.fr/assets/imgs/deputes_original/depute_721836.png","169.34"
32,"Christophe Barthès","032_Christophe_Barthès.png","https://datan.fr/assets/imgs/deputes_original/depute_793238.png","169.34"
33,"Nathalie Bassire","033_Nathalie_Bassire.png","https://datan.fr/assets/imgs/deputes_nobg/depute_721046.png","21.66"
34,"Quentin Bataillon","034_Quentin_Bataillon.png","https://datan.fr/assets/imgs/deputes_nobg/depute_794214.png","14.96"
35,"Delphine Batho","035_Delphine_Batho.png","https://datan.fr/assets/imgs/deputes_original/depute_335999.png","169.34"
36,"Marie-Noëlle Battistel","036_Marie-Noëlle_Battistel.png","https://datan.fr/assets/imgs/deputes_original/depute_342415.png","169.34"
37,"Xavier Batut","037_Xavier_Batut.png","https://datan.fr/assets/imgs/deputes_nobg/depute_721522.png","15.80"
38,"Romain Baubry","038_Romain_Baubry.png","https://datan.fr/assets/imgs/deputes_original/depute_793374.png","169.34"
39,"Julien Bayou","039_Julien_Bayou.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795058.png","15.18"
40,"Thibault Bazin","040_Thibault_Bazin.png","https://datan.fr/assets/imgs/deputes_original/depute_642847.png","169.34"
41,"Valérie Bazin-Malgras","041_Valérie_Bazin-Malgras.png","https://datan.fr/assets/imgs/deputes_original/depute_718884.png","169.34"
42,"Clément Beaune","042_Clément_Beaune.png","https://datan.fr/assets/imgs/deputes_nobg/depute_774109.png","14.96"
43,"José Beaurain","043_José_Beaurain.png","https://datan.fr/assets/imgs/deputes_original/depute_793158.png","169.34"
44,"Olivier Becht","044_Olivier_Becht.png","https://datan.fr/assets/imgs/deputes_original/depute_642935.png","169.34"
45,"Belkhir Belhaddad","045_Belkhir_Belhaddad.png","https://datan.fr/assets/imgs/deputes_original/depute_720362.png","169.34"
46,"Mounir Belhamiti","046_Mounir_Belhamiti.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719910.png","15.10"
