numero,nom_complet,civilite,nom,fichier_photo,url_photo,taille_ko
1,"Mme Abadie-Amiel","Mme","Abadie-Amiel","001_Abadie-Amiel.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793214.jpg","10.08"
2,"Mme Abomangoli","Mme","Abomangoli","002_Abomangoli.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795228.jpg","54.03"
3,"M. Albertini","M.","Albertini","003_Albertini.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794278.jpg","29.16"
4,"M. Alexandre","M.","Alexandre","004_Alexandre.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793262.jpg","26.20"
5,"M. Alfandari","M.","Alfandari","005_Alfandari.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793992.jpg","30.40"
6,"M. Allegret-Pilot","M.","Allegret-Pilot","006_Allegret-Pilot.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841067.jpg","29.36"
7,"Mme Allemand","Mme","Allemand","007_Allemand.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/840665.jpg","29.10"
8,"M. Allisio","M.","Allisio","008_Allisio.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793432.jpg","54.95"
9,"M. Alloncle","M.","Alloncle","009_Alloncle.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841207.jpg","53.96"
10,"M. Amard","M.","Amard","010_Amard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794906.jpg","56.04"
11,"M. Amblard","M.","Amblard","011_Amblard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841495.jpg","28.98"
12,"Mme Amiot","Mme","Amiot","012_Amiot.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794138.jpg","31.58"
13,"M. Amirshahi","M.","Amirshahi","013_Amirshahi.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/610968.jpg","55.95"
14,"Mme Amrani","Mme","Amrani","014_Amrani.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795588.jpg","57.87"
15,"M. Anglade","M.","Anglade","015_Anglade.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/721158.jpg","54.58"
16,"M. Arenas","M.","Arenas","016_Arenas.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795084.jpg","54.65"
17,"M. Armand","M.","Armand","017_Armand.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795144.jpg","32.01"
18,"M. Arnault","M.","Arnault","018_Arnault.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/842105.jpg","27.63"
19,"Mme Arrighi","Mme","Arrighi","019_Arrighi.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793780.jpg","28.80"
20,"M. Attal","M.","Attal","020_Attal.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/722190.jpg","12.88"
21,"Mme Autain","Mme","Autain","021_Autain.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/588884.jpg","50.76"
22,"Mme Auzanot","Mme","Auzanot","022_Auzanot.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/796118.jpg","28.53"
23,"M. Aviragnet","M.","Aviragnet","023_Aviragnet.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/642764.jpg","34.10"
24,"Mme Balage El Mariky","Mme","Balage El Mariky","024_Balage_El_Mariky.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841701.jpg","60.83"
25,"M. Balanant","M.","Balanant","025_Balanant.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/719558.jpg","29.92"
26,"M. Ballard","M.","Ballard","026_Ballard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794562.jpg","54.28"
27,"Mme Bamana","Mme","Bamana","027_Bamana.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/842279.jpg","31.37"
28,"Mme Bannier","Mme","Bannier","028_Bannier.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/720256.jpg","28.89"
29,"M. Baptiste","M.","Baptiste","029_Baptiste.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/643143.jpg","27.88"
30,"M. Barnier","M.","Barnier","030_Barnier.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/368.jpg","7.69"
31,"M. Barthès","M.","Barthès","031_Barthès.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793238.jpg","54.60"
32,"M. Barusseau","M.","Barusseau","032_Barusseau.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/840829.jpg","28.29"
33,"M. Bataille","M.","Bataille","033_Bataille.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/267763.jpg","29.13"
34,"Mme Batho","Mme","Batho","034_Batho.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/335999.jpg","26.04"
35,"Mme Battistel","Mme","Battistel","035_Battistel.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/342415.jpg","35.50"
36,"M. Baubry","M.","Baubry","036_Baubry.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793374.jpg","26.96"
37,"M. Baumel","M.","Baumel","037_Baumel.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/606793.jpg","53.05"
38,"M. Bazin","M.","Bazin","038_Bazin.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/642847.jpg","27.88"
39,"Mme Bazin-Malgras","Mme","Bazin-Malgras","039_Bazin-Malgras.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/718884.jpg","56.80"
40,"M. Beaurain","M.","Beaurain","040_Beaurain.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793158.jpg","53.96"
41,"M. Becht","M.","Becht","041_Becht.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/642935.jpg","54.34"
42,"M. Belhaddad","M.","Belhaddad","042_Belhaddad.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/720362.jpg","28.50"
43,"Mme Bellamy","Mme","Bellamy","043_Bellamy.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795278.jpg","31.07"
44,"Mme Bellay","Mme","Bellay","044_Bellay.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/842211.jpg","34.30"
45,"Mme Belluco","Mme","Belluco","045_Belluco.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795362.jpg","28.06"
46,"Mme Belouassa-Cherifi","Mme","Belouassa-Cherifi","046_Belouassa-Cherifi.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841657.jpg","31.32"
47,"M. Bénard","M.","Bénard","047_Bénard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/796106.jpg","27.94"
48,"M. Benbrahim","M.","Benbrahim","048_Benbrahim.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841315.jpg","28.12"
49,"M. Ben Cheikh","M.","Ben Cheikh","049_Ben_Cheikh.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795454.jpg","55.90"
50,"M. Benoit","M.","Benoit","050_Benoit.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/332228.jpg","53.70"
51,"M. Bentz","M.","Bentz","051_Bentz.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794434.jpg","27.66"
52,"Mme Bergantz","Mme","Bergantz","052_Bergantz.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/805166.jpg","9.50"
53,"M. Berger","M.","Berger","053_Berger.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/408578.jpg","27.19"
54,"M. Bernalicis","M.","Bernalicis","054_Bernalicis.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/720430.jpg","54.75"
